"i","j","recID","eqid","region","SOF","magBin","mag","rake","ZTOR","Rrup","RJB","RX","RY","FLen","VS30","rockPGA","lnY","intra.Resid","Median","eventTerm","srcSiteA","z1","dip","Z1_1D","Z1_Ref","iregion.i.","epsilon_within","Station.Name","Station.Sequence.Number","Station.ID..No.","Hypocenter.Latitude..deg.","Hypocenter.Longitude..deg.","Hypocenter.Depth..km.","Fault.Rupture.Width..km.","Station.Latitude","Station.Longitude","PGA..g.","T0.200S","STATID","VS30_gmean","Z1_mean","Lat_stat","Lon_stat","X_stat","Y_stat","Basin_ID","D_basin","X_eq","Y_eq"
11,4,161,50,1,0,7,6.53,0,0,10.42,8.54,9.64,29.3,50,208.71,0.1081,-4.1705,-0.3284,-4.1566,-0.1072,66,1.5,80,0,0.4926,1,-0.5463,"Brawley Airport",216,5060,32.644,-115.307,9.96,13,32.991,-115.513,0.17591,0.43507,"S51",208.71,1.5,32.991,-115.513,1200.29012549851,3675.2893360384,8,29.0616401576757,1222.43157347582,3638.07989677778
11,5,162,50,1,0,7,6.53,0,0,10.45,10.45,-10.45,-0.36,50,231.23,0.1079,-4.3858,-0.0185,-4.2707,-0.1072,-90,1.28,80,0,0.4862,1,-0.0307,"Calexico Fire Station",209,5053,32.644,-115.307,9.96,13,32.6695,-115.493,0.23764,0.50843,"S52",231.23,1.28,32.67,-115.493,1204.71666843991,3639.7121963247,8,16.7153830149913,1222.43157347582,3638.07989677778
11,12,170,50,1,0,7,6.53,0,0,7.31,7.31,-7.31,14.49,50,192.05,0.1403,-3.7505,-0.273,-3.6846,-0.1072,-90,1.4,80,0,0.4962,1,-0.4541,"EC County Center FF",151,1136,32.644,-115.307,9.96,13,32.793,-115.562,0.22388,0.5115,"S59",192.05,1.4,32.793,-115.562,1197.25809298951,3652.93559176492,8,19.5243794852744,1222.43157347582,3638.07989677778
11,15,173,50,1,0,7,6.53,0,0,8.6,8.6,-8.6,13.74,50,202.85,0.1252,-3.8521,-0.2333,-4.0302,-0.1072,-90,1.42,80,0,0.4939,1,-0.3881,"El Centro Array #10",103,412,32.644,-115.307,9.96,13,32.7806,-115.5681,0.19857,0.49864,"S62",202.85,1.42,32.781,-115.568,1196.7886319513,3651.56082092997,8,18.0964902666491,1222.43157347582,3638.07989677778
11,19,178,50,1,0,7,6.53,0,0,12.85,10.79,13.04,13.2,50,162.94,0.091,-3.9647,0.2165,-3.842,-0.1072,90,1.6,80,0,0.5007,1,0.3601,"El Centro Array #3",213,5057,32.644,-115.307,9.96,13,32.894,-115.38,0.26473,0.73037,"S66",162.94,1.6,32.894,-115.38,1213.54501199442,3665.39740821947,8,30.3840952700863,1222.43157347582,3638.07989677778
11,20,179,50,1,0,7,6.53,0,0,7.05,4.9,7.15,13.46,50,208.91,0.1437,-3.3994,0.244,-3.9185,-0.1072,90,1.6,80,0,0.4925,1,0.4059,"El Centro Array #4",119,955,32.644,-115.307,9.96,13,32.864,-115.432,0.38078,0.80262,"S67",208.91,1.6,32.864,-115.432,1208.90474885361,3661.70627965863,8,33.3774252176079,1222.43157347582,3638.07989677778
11,21,180,50,1,0,7,6.53,0,0,3.95,1.76,4.01,14.58,50,205.63,0.212,-3.2774,0.0685,-3.6601,-0.1072,90,1.6,80,0,0.4933,1,0.114,"El Centro Array #5",118,952,32.644,-115.307,9.96,13,32.855,-115.466,0.41145,0.96326,"S68",205.63,1.6,32.855,-115.466,1205.78420245017,3660.47535025058,8,30.49293710078,1222.43157347582,3638.07989677778
11,22,181,50,1,0,7,6.53,0,0,1.35,0,1.37,14.34,50,203.22,0.2755,-3.5065,0.5139,-3.4773,-0.1072,90,1.56,80,0,0.4939,1,0.8549,"El Centro Array #6",230,5158,32.644,-115.307,9.96,13,32.839,-115.487,0.44817,0.68309,"S69",203.22,1.56,32.839,-115.487,1203.93960951295,3658.55403408515,8,27.8553143624154,1222.43157347582,3638.07989677778
11,23,182,50,1,0,7,6.53,0,0,0.56,0.56,-0.56,14.42,50,210.51,0.2536,-3.6583,0.0001,-3.4836,-0.1072,-90,1.52,80,0,0.4921,1,0.0002,"El Centro Array #7",200,5028,32.644,-115.307,9.96,13,32.829,-115.504,0.43676,0.63151,"S70",210.51,1.52,32.829,-115.504,1202.42239444714,3657.32747756032,8,25.9812125975055,1222.43157347582,3638.07989677778
11,24,183,50,1,0,7,6.53,0,0,3.86,3.86,-3.86,14.4,50,206.08,0.1971,-3.6864,0.3837,-3.6765,-0.1072,-90,1.44,80,0,0.4932,1,0.6383,"El Centro Array #8",120,958,32.644,-115.307,9.96,13,32.811,-115.532,0.52691,0.99314,"S71",206.08,1.44,32.811,-115.532,1199.93474785532,3655.13777250615,8,22.7849217056112,1222.43157347582,3638.07989677778
11,25,184,50,1,0,7,6.53,0,0,5.09,5.09,-5.09,13.24,50,202.26,0.174,-3.7211,0.2598,-3.7651,-0.1072,-90,1.42,80,0,0.4941,1,0.4322,"El Centro Differential Array",232,5165,32.644,-115.307,9.96,13,32.796,-115.535,0.43726,0.96885,"S72",202.26,1.42,32.796,-115.535,1199.77137964838,3653.44905525418,8,21.2833375846538,1222.43157347582,3638.07989677778
11,26,185,50,1,0,7,6.53,0,0,7.5,5.35,7.61,5.78,50,202.89,0.1379,-3.669,-0.207,-3.9421,-0.1072,90,1.5,80,0,0.4939,1,-0.3443,"Holtville Post Office",211,5055,32.644,-115.307,9.96,13,32.8114,-115.3786,0.2378,0.70434,"S73",202.89,1.5,32.811,-115.379,1214.3092217288,3656.16944233716,8,33.4097626110356,1222.43157347582,3638.07989677778
11,27,186,50,1,0,7,6.53,0,0,36.92,35.64,26.37,51.25,50,212,0.0325,-5.2178,-0.0122,-5.2166,-0.1072,45,0.7,80,0,0.4917,1,-0.0203,"Niland Fire Station",263,11023,32.644,-115.307,9.96,13,33.239,-115.512,0.087609,0.26251,"S74",212,0.7,33.239,-115.512,1198.40266380686,3702.88485086288,8,11.2719870528651,1222.43157347582,3638.07989677778
