"i","j","recID","eqid","region","SOF","magBin","mag","rake","ZTOR","Rrup","RJB","RX","RY","FLen","VS30","rockPGA","lnY","intra.Resid","Median","eventTerm","srcSiteA","z1","dip","Z1_1D","Z1_Ref","iregion.i.","epsilon_within","Station.Name","Station.Sequence.Number","Station.ID..No.","Hypocenter.Latitude..deg.","Hypocenter.Longitude..deg.","Hypocenter.Depth..km.","Fault.Rupture.Width..km.","Station.Latitude","Station.Longitude","PGA..g.","T0.200S","STATID","VS30_gmean","Z1_mean","Lat_stat","Lon_stat","X_stat","Y_stat","Basin_ID","D_basin","X_eq","Y_eq"
2,1,51,30,1,1,7,6.61,83,0,55.2,55.2,-54.51,-20.18,20,280.56,0.0374,-2.4357,-0.8383,-1.899,0.1849,-99.03,0.32,45,0,0.4649,1,-1.4125,"2516 Via Tejon PV",3,411,34.44,-118.41,13,27.4,33.801,-118.387,0.031274,0.090758,"S5",280.56,0.32,33.801,-118.387,927.168415498866,3749.67041310359,9,2.93540553323861,921.842258158971,3820.51223903168
2,2,56,30,1,1,7,6.61,83,0,61.79,61.79,-29.31,-64.87,20,235,0.0325,-1.8183,0.0559,-1.9541,0.1849,-151.69,0.36,45,0,0.4849,1,0.0943,"Carbon Canyon Dam",71,108,34.44,-118.41,13,27.4,33.9121,-117.838,0.071213,0.18071,"S6",235,0.36,33.912,-117.838,977.435872022373,3764.41747537246,9,1.98429789416711,921.842258158971,3820.51223903168
2,5,66,30,1,1,7,6.61,83,0,139.14,139.14,-27.63,-146.65,20,328.09,0.0094,-2.4456,0.7267,-3.4527,0.1849,-168.54,-999,45,0,0.4334,1,1.2245,"Hemet Fire Station",272,12331,34.44,-118.41,13,27.4,33.729,-116.979,0.036698,0.10258,"S9",328.0927272425,-999,33.729,-116.979,1058.18187091981,3748.43001980908,9,38.0538905410939,921.842258158971,3820.51223903168
2,7,68,30,1,1,7,6.61,83,0,22.77,22.77,-22.3,-14.84,20,316.46,0.0974,-0.6449,0.3118,-1.0994,0.1849,-101.66,0.32,45,0,0.4421,1,0.5254,"LA - Hollywood Stor FF",326,24303,34.44,-118.41,13,27.4,34.09,-118.339,0.21729,0.55754,"S11",316.46,0.32,34.09,-118.339,930.156315689499,3781.95476635018,1,0.942811477833974,921.842258158971,3820.51223903168
2,12,77,30,1,1,7,6.61,83,0,1.81,0,2.56,-4.94,20,2016.13,0.5422,0.6964,0.9594,-0.1719,0.1849,90,0,45,0,0.0001,1,1.6167,"Pacoima Dam (upper left abut)",88,279,34.44,-118.41,13,27.4,34.334,-118.396,1.2217,2.0558,"S16",2016.13,-999,34.334,-118.396,923.665137051258,3808.80315542428,9,3.56777023868403,921.842258158971,3820.51223903168
2,15,82,30,1,1,7,6.61,83,0,68.84,68.84,-36.79,63.12,20,248.98,0.0282,-3.0399,-0.7799,-2.1144,0.1849,-32.3,0.52,45,0,0.4797,1,-1.3141,"Port Hueneme",85,272,34.44,-118.41,13,27.4,34.145,-119.206,0.026619,0.058143,"S19",248.98,0.52,34.145,-119.206,849.866512200171,3784.74097080256,2,0.954760089028969,921.842258158971,3820.51223903168
2,16,83,30,1,1,7,6.61,83,0,52.64,52.64,-9.37,-61.47,20,421.44,0.0396,-1.8343,-0.0802,-2.0486,0.1849,-169.74,0.32,45,0,0.3411,1,-0.1351,"Puddingstone Dam (Abutment)",87,278,34.44,-118.41,13,27.4,34.091,-117.808,0.059764,0.20898,"S20",421.44,0.32,34.091,-117.808,979.203362753127,3784.43575324459,9,1.33002969158871,921.842258158971,3820.51223903168
2,17,85,30,1,1,7,6.61,83,0,108.01,108.01,-70.57,-93.92,20,459.37,0.0146,-2.4746,0.4801,-3.1835,0.1849,-139.2,-999,45,0,0.2962,1,0.809,"San Juan Capistrano",104,465,34.44,-118.41,13,27.4,33.4894,-117.671,0.038196,0.10209,"S21",459.37,-999,33.489,-117.671,995.329808276681,3718.2319860778,9,21.7493532560838,921.842258158971,3820.51223903168
2,18,87,30,1,1,7,6.61,83,0,30.7,30.7,-4.38,-39.9,20,667.13,0.0723,-0.5768,0.6257,-1.6821,0.1849,-171.79,0.02,45,0,0.0921,1,1.0543,"Santa Anita Dam",68,104,34.44,-118.41,13,27.4,34.185,-118.018,0.18648,0.59166,"S22",667.13,0.02,34.185,-118.018,959.291860889662,3793.90514249828,9,2.99670603014491,921.842258158971,3820.51223903168
2,19,91,30,1,1,7,6.61,83,0,61.73,61.72,0.74,-70.94,20,487.23,0.0392,-1.9765,0.0482,-2.1603,0.1849,179,0.32,45,0,0.2627,1,0.0813,"Upland - San Antonio Dam",95,287,34.44,-118.41,13,27.4,34.155,-117.675,0.064655,0.22567,"S23",487.23,0.32,34.155,-117.675,991.120177186324,3792.17745909811,9,0.727624647936925,921.842258158971,3820.51223903168
2,21,93,30,1,1,7,6.61,83,0,39.45,39.45,-22.94,-42.34,20,298.68,0.0553,-1.1036,0.0926,-1.5635,0.1849,-144.43,0.4,45,0,0.4542,1,0.156,"Whittier Narrows Dam",96,289,34.44,-118.41,13,27.4,34.02,-118.053,0.1122,0.34967,"S25",298.68,0.4,34.02,-118.053,956.951345678403,3775.4268605099,9,0.408876109750224,921.842258158971,3820.51223903168
2,22,94,30,1,1,7,6.61,83,0,62.23,61.64,23.83,-67.84,20,486,0.0554,-2.2882,-0.5669,-1.8311,0.1849,158,-999,45,0,0.2642,1,-0.9553,"Wrightwood - 6074 Park Dr",99,290,34.44,-118.41,13,27.4,34.36,-117.63,0.048565,0.14941,"S26",486,-999,34.36,-117.63,994.070226559392,3815.16352743136,9,21.9540221622914,921.842258158971,3820.51223903168
11,1,158,50,1,0,7,6.53,0,0,0.34,0,0.35,-11.09,50,259.86,0.2715,-0.4043,-0.4194,0.2353,-0.1072,90,1.36,80,0,0.4751,1,-0.6976,"Aeropuerto Mexicali",243,6616,32.644,-115.307,9.96,13,32.651,-115.332,0.29094,0.5554,"S48",259.86,1.36,32.651,-115.332,1220.02142590592,3638.6875680565,8,23.9345891094636,1222.43157347582,3638.07989677778
11,2,159,50,1,0,7,6.53,0,0,0.65,0,0.66,-15.51,50,242.05,0.275,-1.0251,-0.6768,0.2145,-0.1072,90,1.32,80,0,0.4824,1,-1.1259,"Agrarias",245,6618,32.644,-115.307,9.96,13,32.621,-115.301,0.23865,0.29349,"S49",242.05,1.32,32.621,-115.301,1223.18302292983,3635.56177303597,8,23.8288160267673,1222.43157347582,3638.07989677778
11,3,160,50,1,0,7,6.53,0,0,2.66,0.44,2.7,-7.01,50,223.03,0.2498,0.4459,0.4804,0.1338,-0.1072,90,1.4,80,0,0.4887,1,0.7992,"Bonds Corner",210,5054,32.644,-115.307,9.96,13,32.6931,-115.3382,0.68661,1.8796,"S50",223.03,1.4,32.693,-115.338,1219.11721059549,3643.31986985077,8,27.2634867129375,1222.43157347582,3638.07989677778
11,4,161,50,1,0,7,6.53,0,0,10.42,8.54,9.64,29.3,50,208.71,0.1081,-0.9688,-0.3284,-0.3312,-0.1072,66,1.5,80,0,0.4926,1,-0.5463,"Brawley Airport",216,5060,32.644,-115.307,9.96,13,32.991,-115.513,0.17591,0.43507,"S51",208.71,1.5,32.991,-115.513,1200.29012549851,3675.2893360384,8,29.0616401576757,1222.43157347582,3638.07989677778
11,5,162,50,1,0,7,6.53,0,0,10.45,10.45,-10.45,-0.36,50,231.23,0.1079,-0.5396,-0.0185,-0.3362,-0.1072,-90,1.28,80,0,0.4862,1,-0.0307,"Calexico Fire Station",209,5053,32.644,-115.307,9.96,13,32.6695,-115.493,0.23764,0.50843,"S52",231.23,1.28,32.67,-115.493,1204.71666843991,3639.7121963247,8,16.7153830149913,1222.43157347582,3638.07989677778
11,6,163,50,1,0,7,6.53,0,0,24.6,23.17,18.52,41.5,50,205.78,0.0498,-1.5017,-0.2625,-0.8953,-0.1072,48,1.46,80,0,0.4933,1,-0.4367,"Calipatria Fire Station",217,5061,32.644,-115.307,9.96,13,33.1266,-115.516,0.097772,0.29346,"S53",205.78,1.46,33.127,-115.516,1198.92461157595,3690.39859912134,8,21.3356945849613,1222.43157347582,3638.07989677778
11,9,166,50,1,0,7,6.53,0,0,50.1,49.1,28.71,66.36,50,336.49,0.0228,-1.9058,0.8304,-1.8877,-0.1072,35,0.42,80,0,0.4266,1,1.3814,"Coachella Canal #4",219,5066,32.644,-115.307,9.96,13,33.36,-115.59,0.12238,0.18966,"S56",336.49,0.42,33.36,-115.59,1190.15025103134,3715.82171453897,8,2.14596005116254,1222.43157347582,3638.07989677778
11,10,167,50,1,0,7,6.53,0,0,15.3,13.52,13.78,-32.06,50,259.86,0.0781,-1.1163,-0.205,-0.5991,-0.1072,117,1.12,80,0,0.4751,1,-0.341,"Compuertas",248,6622,32.644,-115.307,9.96,13,32.573,-115.083,0.15012,0.35472,"S57",259.86,1.12,32.573,-115.083,1244.11439199633,3631.73722796696,8,33.1436190110001,1222.43157347582,3638.07989677778
11,12,170,50,1,0,7,6.53,0,0,7.31,7.31,-7.31,14.49,50,192.05,0.1403,-0.8682,-0.273,-0.1908,-0.1072,-90,1.4,80,0,0.4962,1,-0.4541,"EC County Center FF",151,1136,32.644,-115.307,9.96,13,32.793,-115.562,0.22388,0.5115,"S59",192.05,1.4,32.793,-115.562,1197.25809298951,3652.93559176492,8,19.5243794852744,1222.43157347582,3638.07989677778
11,13,171,50,1,0,7,6.53,0,0,0.07,0.07,-0.07,6.23,50,264.57,0.2561,-0.8928,-0.4054,0.2106,-0.1072,-90,1.32,80,0,0.473,1,-0.6744,"El Centro - Meloland Geot. Array",160,1336,32.644,-115.307,9.96,13,32.773,-115.447,0.3125,0.46171,"S60",235.339448608653,1.32,32.773,-115.447,1208.22392787201,3651.48055758119,8,25.7276066999583,1222.43157347582,3638.07989677778
11,14,172,50,1,0,7,6.53,0,0,21.68,19.76,22.01,15.63,50,237.33,0.0564,-1.0575,0.0453,-0.8394,-0.1072,90,1.28,80,0,0.4841,1,0.0753,"El Centro Array #1",212,5056,32.644,-115.307,9.96,13,32.96,-115.319,0.14458,0.26909,"S61",237.33,1.28,32.96,-115.319,1218.73272112993,3673.15883006397,8,21.4237347471958,1222.43157347582,3638.07989677778
